,objek wisata,ulasan,atraksi,amenitas,aksesibilitas
1503,gunung pegat,Spot foto lumayan epik,positif,,
703,alun alun,Ga seramai dulu.. mungkin karena Corona,negatif,,
1480,gunung pegat,tempat nya nyaman dan masih bersih,,positif,
2258,wbl,Tempatnya menarik dan tempat parkirnya luas,positif,positif,
400,alun alun,banyak spot selfie,positif,,
709,alun alun,tempat y lumayan bagus dn adem.jg ada permainan anak2.,positif,positif,
2471,wbl,Wahana nya sangat menarik,positif,,
1587,pantai kutang,"Pantai dekat dengan pemukiman penduduk pesisir pantai.
Harga tiket sangat murah.
Tempat yang bagus untuk bersantai dan berkibur bersama teman maupun keluarga.
Sanyangnya pantai tutup pukul setengah enam sore.",positif,,
818,alun alun,persis depan alun2 lamongan bisa langsung duduk makan nasi Boran,positif,,
688,alun alun,"Banyak wahana bermain anak, banyak spot foto, banyak penjual makanan disekitarnya juga",positif,positif,
2249,wbl,"Cocok untuk yang mau refreshing,healing,pacaran,atau sekedar mencari hiburan.",positif,,
1630,pantai kutang,Bagus khususnya anak kecil batita balita aman dari ombak,,positif,
2570,wbl,Tempatnya skrg kurang terawat...,,negatif,
1729,pantai lorena,"Bagus tempat bs buat foto"" cantik air juga jernih banget bersih",positif,,
1795,pantai lorena,Bagus sekali makanan di pinggir pantai lumayan enak,,positif,
700,alun alun,Tempat orang cari makan khas nasi barong,,positif,
1216,gunung mas mantup,perlu di tambah beberapa fasilitas misal kereta gantung akan semakin menarik tempat ini,negatif,positif,
1748,pantai lorena,Duduk santai sambil makan rujak khas paciran,positif,,
2016,waduk gondang,Permainan banyak tidak terawat,,negatif,
432,alun alun,Aesthetic,positif,,
2263,wbl,Bagus wahana nya pngn ke situ lagi,positif,,
629,alun alun,Rapi bersih nyaman,,positif,
819,alun alun,"Paling suka kalo ke lamongan,mampir beli nasi boran kalo ke alun alun lamongan",positif,,
10,alun alun,"Banyak tanaman, sehingga membuat nyaman dan adapula wahana untuk anak anak sehingga cocok untuk refreshing keluarga di tengah kota",positif,positif,
1111,goa maharani,Tempat wisata yang bersih dan nyaman,,positif,
321,alun alun,"Tempat yang sangat iconik sih ini buat lamongan, strategis di tengah2 kota juga ada wahananya juga yang sekarang jadi tambah ikonik sih ini",positif,,positif
1953,waduk gondang,"Saya gatau ya, kurang puas aja. Ada beberapa tempat yg udah rusak fasilitasnya, mungkin juga karena musim hujan jadi becek dan banyak nyamuk.  Weekend tetep ramai mungkin karena terjangkau dan dekat.",,negatif,positif
1544,gunung pegat,Makanannya luar biasa,,positif,
1912,pantai lorena,Bagus,,,
549,alun alun,Banyak perubahan fasilitas hiburan dan olah raga untuk masyarakat sekitar kota khususya dan kabupaten pada umumnya,,positif,
1281,gunung mas mantup,"Lumayan bagus. Cuma akses jalan masuk jembatan, harus kalem2",,,negatif
487,alun alun,Buat nongkrong enak juga,positif,,
689,alun alun,"Menarik sih, banyak makanan dan baju² tapi mereka dikelompokkan",positif,,
1672,pantai kutang,menuju Pantai Kutang semakin mudah,,,positif
2119,waduk gondang,"Selain kendaraan pribadi, Anda dapat menggunakan angkutan umum dari Lamongan ke Gondang untuk sampai di lokasi ini",,,positif
2656,wego,"Tempat yg bagus untuk keluarga, ada monumen pesawat terbang",positif,,
2843,wego,Tidak ada transportasi yang menghubungkan objek wisata ini dengan hotel-hotel di sekitarnya,,,negatif
65,alun alun,Teman berkumpul keluarga dan mengenang masa muda . Ada bianglala dan taman bermain anak juga ada air mancur nya,positif,,
2776,wego,"Sangat cocok untuk keluarga
Khususnya anak"", banyak juga pengetahuan"" Yang di dapat di wego",positif,,
2524,wbl,Luar biasa,,,
534,alun alun,Taman kota yang ikonik dengan lingkungan kantor pemerintahan Lamongan dan bianglala di tengah tamannya,positif,,
2305,wbl,wahana nya lengkap seru,positif,,
937,goa maharani,"Walaupun tidak luas, tapi hewannya bagus² dibanding kebun binatang yang lebih besar. Nyaman karena pengunjung tidak padat, tempat teduh. Puas bisa feeding gajah, jerapah, burung. Ada playground juga. Singa keliatannya sedang sakit.",positif,,
2325,wbl,"Tempat wisata di Lamongan paling luar biasa serunya, pelayanan sangat ramah, ke Lamongan wajib mampir WBL,, sangat disayangkan akses jalan menuju ke wbl sungguh terjal penuh lubang",,positif,negatif
2596,wbl,Wahananya sangat banyak seru sekali,positif,,
1032,goa maharani,"Tempat bagus adem edukasi anak
Tapi sayang musim libur parkiran penuh parkir",positif,negatif,
2714,wego,"Tempat WEGO yg terletak di pinggir jalan rayapun tidak susah untuk mencarinya. Kalau di Lamongan jangan lupa untuk mengunjungi WEGo guys.
Salam asik travelling",,,positif
357,alun alun,"Suka bnget tempat ini....bagus, anak2 jg senang krn ada tmpat brmain buat anak2",positif,,
206,alun alun,"Bagus,, byk tempat bermain",positif,,
2407,wbl,Wisata yang penuh game yang asik cocok untuk anak anak yang masih kecil sampai dewasa karema semua permainan cocok untuk anak anak sampai oarang tua pun dari rumah hantu rel coaster tempat renang samapai waisata pantai di wbl juga menyediakan penginapan bagi pengunjung yang berasal dari luar lamongan,positif,positif,
2401,wbl,Tempat wisata yang indah dan banyak wahana permainannya...,positif,,
1007,goa maharani,"Wisata edukasi yang cocok untuk anak"", bersih nyaman, petugas n pemandu jg ramah. Banyak  promosi untuk di bulan agustus. Banyaknya pengunjung jg terkendali sehingga aman pada masa pandemi seperti saat ini.",positif,positif,
2006,waduk gondang,Perlu pembenahan dan penambahan fasilitas pendukung,,negatif,
507,alun alun,"Banyak tempat bermain yang sudah rusak, Air mancur yang tidak pernah menyalah.",,negatif,
331,alun alun,"Wisata keluarga yg nyaman, asri,  aneka macam dolanan anak anak",positif,positif,
207,alun alun,"Tempat ini baik untuk Rekreasi dan berolahraga ringan, juga pagi baik untuk menambah imun karena oksigen melimpah",positif,,
2345,wbl,"Rekomended banget, sangat cocok untuk liburan keluarga , sekolah , ataupun kantor. Banyak wahananya. Dan harganya sangat murah.",positif,,
2302,wbl,Banyak wahana yg dlm perbaikan. Klo beli karcis terusan jadi agak kecewa yaa..,negatif,,
782,alun alun,Tempat yg nyaman untuk tamasya keluarga,positif,,
1779,pantai lorena,"Yg pengen main di pantai, tapi gratis, disini oke juga tempatnya",positif,,
1873,pantai lorena,panorama sunsetnya bagus sekali,positif,,
2238,wbl,Bagus dan harga tiket masuk menyesuaikan,positif,,
2554,wbl,"Kayaknya lama vakum,,, jadi kliatan sdikit gk terawat",,negatif,
1082,goa maharani,Seru,,,
398,alun alun,Tidak afdol ketika mudik ke kampung halaman ibu kalo tidak ke alun alun kota lamongan ini. Karena kuliner khas lamaongan nasi boran dan soto lamongan cak har selalu bisa membuat rindu,positif,,
889,goa maharani,mantap buat rekreasi keluarga buat menambah wawasan anak2,positif,,
1143,goa maharani,"tempat yang sangat menyenangkan. Selain melihat binatang, kita juga bisa berfoto dengan binatang, melihat pertunjukan binatang, melukis topeng, dan terdapat gua yang terbentuk secara alami.
",positif,,
273,alun alun,"Kurang penerangan,, jadi ada spot2 buat orang pacaran,, permainan lumayan banyak,tapi ada sebagian yang rusak juga",,negatif,
2093,waduk gondang,Asri tempatnya indah buat spot foto,positif,,
2265,wbl,Naik wahana yang sangat sangat memuaskan,positif,,
1391,gunung pegat,lumayan berisik di depan,,negatif,
638,alun alun,Oke bersih rapi,,positif,
391,alun alun,Tempatny aman dan nyaman,,positif,
586,alun alun,"Tempatnya bersih, ada bianglala nya",positif,positif,
990,goa maharani,"Tempatnya bersih dan sangat terjangkau, koleksi binatang juga lumayan lengkap. Tempatnya tidak terlalu ramai, outdoor tapi tidak panas, wisata ini cocok di musim pandemi, sangat aman dan terjaga",positif,positif,
1498,gunung pegat,Semoga semakin maju,,,
286,alun alun,wahana permainan juga namun tidak beroperasi,negatif,,
696,alun alun,Cukup lumayan...nyantai  makan bareng bersama keluarga,,positif,
1474,gunung pegat,Pemandangan yg enak dimata,positif,,
1759,pantai lorena,pantai bagus dan indah di pantura... Menikmati sambil makan rujak,positif,,
2176,wbl,Lumayan banyak wahananya..tapi panas karena di tepi pantai..,positif,negatif,
842,alun alun,"Akses mudah ke alun-alun membuat tempat ini menjadi pusat kegiatan seni, budaya, dan pariwisata di kota tersebut",positif,,positif
2645,wego,"Bagus tempatnya, banyak wahana edukasinya",positif,,
1298,gunung pegat,"Pilihan baru untuk rekreasi murah meriah, bisa camping juga, parkir kendaraan bisa sampai atas
Tanjakan lumayan tapi masih save
Untuk mobilitas naik turun khususnya untuk roda 4 hanya bisa 1 aksesada spot foto lumayan banyak dari balon udara sampai ada kolam renang juga untuk sekedar bermain anak2, mainan lain juga ada, warung juga sudah ada.",positif,positif,negatif
348,alun alun,"Lokasi luas, bersih, sudah tertata rapi semua nyaman buat keluarga bermain",,positif,
14,alun alun,"Tempat hiburan mulai anak-anak sampai orang tua bs bersantai, berolahraga dll. Ditunjang dg prasarana yg memadai, dekat dg masjid agung Lamongan juga,wes pokoke Josh",,positif,
1436,gunung pegat,Destinasi desa wisata yg perlu jd new experience goeserrr,positif,,
2086,waduk gondang,Mantap untuk mancing,positif,,
2532,wbl,Wisata komplit,positif,,
527,alun alun,Banyak tempat duduk untuk istirahat sejenak sambil menikmati megahnya masjid.,,positif,
148,alun alun,Bayak permainan buat anak2. Kalau anak saya ke alun2 lamongan.... kalau diajak pulang tu gak mau.... maunya main...... terus,positif,,
1177,gunung mas mantup,"Tiket permotor 15k, tapi ada yg bilang 10k,.. Fasilitas lengkap",,positif,
2230,wbl,Luar biasa dan di tambah kan lagi kalo ada kereta hantunya lebih serem,positif,,
430,alun alun,perlu diperhatikan kelancaran pengguna jalan raya,,,negatif
423,alun alun,mantap,,,
2669,wego,Tempat melepas penat yang pas... ditambah pemandangan waduk Gondang asri banget,positif,,
1637,pantai kutang,Mantul tempatnya. Banyak kedai kedai di pesisirnya. Tempat neduhnya juga banyak. Kebersihan agak lumayan bersih. Biaya masuknya murah dan khusus warga labuhan free. Jadi mantul. Jembatanya juga bagus warna warni kek pelangi hahahaaa,positif,positif,
2284,wbl,"Semakin bagus dan lengkap wahananya, puas seharian berwisata tanpa harus keluar lokasi",positif,,
1664,pantai kutang,Wisata murah,,,
2087,waduk gondang,"Waduk Gondang wisata Alam yang asri, dan view sangat menarik.",positif,,
452,alun alun,Trotoarnya bnyak yang berlubang,,negatif,
192,alun alun,"Alun-alunnya dan masjidnya indah, ramai bikin betah santai disini bersama keluarga",positif,,
1323,gunung pegat,Keren viewnya. Bisa naik sepeda sampai atas bukit. Mobil bisa naik ke lokasi langsung. Banyak spot keren buat selfie. Top dah.,positif,,positif
1925,pantai lorena,kotor,,negatif,
953,goa maharani,"Senang sekali.....
Recommended sekali buat berlibur dan mengenalkan anak anak tentang hewan",positif,,
2526,wbl,Bagus,,,
1405,gunung pegat,"Pengalaman pertama saya pemandangan indah, ada peralatan fitnes, warung makan, dan ada pemondokkannya. terimakasih",positif,positif,
2506,wbl,Istimewa,,,
1998,waduk gondang,banyak pohon besar dan rindang,positif,,
335,alun alun,Tempat luas fasilitas umum banyak yang rusak,,negatif,
1644,pantai kutang,"Tempatnya bagus,murah weekend 6000 kalau tidak salah. Pasir putih beserta mangrove, ombaknya bersahabat cocok buat anak-anak mandi sambil bermain laut.",positif,,
946,goa maharani,"jalan semakin bagus, tidak bergelombang seperti dulu semakin lama akses makin mudah",,,positif
896,goa maharani,Ramai sekali after idul Fitri...menyenangkan bersama keluarga,,,
1368,gunung pegat,"Lokasi mudah dijangkau, dari pintu masuk sampe tempat parkir jalannya sudah bagus. Baik sepeda, sepeda motor dan mobil bisa parkir diatas.
Htm terjangkau
Hari minggu relatif ramai . Sudah banyak pedagang ,ada fasilitas mck dan tempat untuk berteduh.",,positif,positif
282,alun alun,Bagus bt tempat istirahat sejenak melepas lelah,positif,,
2634,wbl,Petunjuk arah yang jelas dan mudah dipahami mempermudah perjalanan menuju wisata bahari Lamongan.,,,positif
1132,goa maharani,Koleksi lumayan beragam,positif,,
2833,wego,tidak ada wifi disini,,negatif,
1232,gunung mas mantup,Tempat rekreasi keluarga paling murah meriah…banyak spot foto,positif,,
2262,wbl,Sayang film 3 dimensi nya gak ganti²,negatif,,
1884,pantai lorena,Parkir krg luas,,negatif,
677,alun alun,Bersih asri...,positif,positif,
998,goa maharani,"tempat yg cocok utk bawa anak2, anak2 bisa berbagai macam hewan..",positif,,
2464,wbl,Wahaha sumpah bikin merinding jantung berdebar,positif,,
79,alun alun,"Bagus, bersih dan aman",,positif,
1165,gunung mas mantup,"Gang masuk kecil dan tulisan di depan jalan raya juga kecil sempat terlewat dan kembali lagi masuk lorong kecil terus saja lewati makam, posisi wisata dibawah setelah makam, tempatnya bagus, tapi panas banget saya datang pas jam 11, pintu keluar masuk buat mobil pas banget sempit jd harus gantian jika masuk, tidak ada petunjuk arah. Dari sini pintu masuknya ya.. keren tempatnya banyak sport foto cantik ",positif,,negatif
2280,wbl,lumayan menghibur bagi anak2. pinggir pantai,positif,,
2587,wbl,"Bersih , tetapi wahana kurang terawat, pemandangan pantai langsung",positif,negatif,
19,alun alun,"Sangat bagus sekali... taman bermain anak lengkap sekali, ada biang lala juga yang megah, ada monumen pesawat juga. Ada pendopo juga, air mancur juga. Recommended banget lah buat mampir",positif,,
986,goa maharani,"Nyaman,adem asri
Buat anak2 senang",positif,positif,
489,alun alun,Tempat yang bagus untuk refreshing,positif,,
694,alun alun,Alun2 banyak makanan,,positif,
1040,goa maharani,Nice. Tapi hewannya agak berkurang ha,negatif,,
1386,gunung pegat,"View bagus, alhamdulillaah... .",positif,,
2580,wbl,Cocok untuk wisata keluarga,positif,,
1616,pantai kutang,"Pantai Kutang, memang tempat wisata domestik . Di tempat ini terutama untuk anak² , banyak yang seneng. Karena di pantai ini ada warung² yang jualan makanan minuman dan es degan pun ada. Ayunan jugak ada ya.",positif,positif,
1357,gunung pegat,Akses menuju lokasi jalannya ckp bagus. Sebagian cor beton dan sebagian adalah aspal. Lokasi mudah dicapai dengan lendaraan roda 2 dan 4. Akan tetapi juga harus hati2 karena tanjakannya ckp terjal menuju lokasi tsb. Fiew siang dan malam ckp baik tetapi tempag tsb blm sempurna krn msh ada perbaikan safan dan prasarana penunjang. Semoga nanti ba ditata sedemikiannrupa ?an mempunyai cirikhas twrsendiri agar orang mudah mengingat ttg keindahan lokasi ysb.,positif,,positif
1443,gunung pegat,"Jalan perlu ditingkatkan lebih lebar, dan jalan dibuat lg untuk turun sama naik beda jalur agar lebih aman",,,negatif
2223,wbl,Tempat yg indah dan nyaman,positif,positif,
178,alun alun,"beberapa fasilitas baru, suka dg banyaknya desain dudukan di landscape nya hanya masih kurang pohon peneduh saja",,positif,
1134,goa maharani,Keren,,,
1497,gunung pegat,Tempat wisata murah meriah,positif,,
1182,gunung mas mantup,"Tempat wisata bekas dari tambang material, jujur pertama kesini kaget dengan tiket seharga 10.000 dibanding wahana yg disediakan, tempat berteduh juga kurang",negatif,negatif,
797,alun alun,Cocok untuk rekreasi bersama keluarga,positif,,
1969,waduk gondang,fasilitasnya banyak yang kurang terawat,,negatif,
511,alun alun,Ada peninggalan pesawat nich ..,positif,,
263,alun alun,wahana bermain seru untuk anak2 tempatnya bersih,positif,positif,
9,alun alun,Cocok untuk tempat maen anak untuk tempat parkirnya agak susah permainannya sedikit ada yang sudah rusak,negatif,negatif,
760,alun alun,"tempatnya sekarang bagus ada bianglala, family friendly",positif,,
1743,pantai lorena,"Pantainya bagus,airnya hijau membentang... Baguus buat berswa photo...",positif,,
981,goa maharani,Kesannya kurang terawat gitu yaa.. sepi padahal weekend pas kesana..,,negatif,
862,goa maharani," Goa kurang menarik sepertinya jadi agak sepi,.
Singa, harimau dan jerapah kelihatan agak kurus. Kebersihan juga cukup baik, akses mudah karena langsung dipinggir jalan raya.",negatif,positif,positif
2531,wbl,Wisata nyaman,,positif,
605,alun alun,Bagus bersih indah,positif,positif,
1803,pantai lorena,"Tempat yang Bagus, disarankan ke sini Kalo musim panas saja, Biar sunset terlihat dengan jelas",positif,,
636,alun alun,alun2 bersih dan  tertata rapih,,positif,
1106,goa maharani,"pemandanganya baguss
tempatnya terawat",positif,positif,
20,alun alun,Alun alunya semakin bagus. Banyak wifi gratisnya juga.,,positif,
2650,wego,Wisata edukasi yang bagus senang sekali bisa berkunjung,positif,,
752,alun alun,Klo Minggu pagi rame...,,,
116,alun alun,"Gowes dr Sidoarjo ke Lamongan mampir masjid Namira dan alun-alun kota Lamongan, ternyata alun alunnya besar cuma tulisan ikoniknya(alun-alun Lamongan) kurang besar dan jangan dilengkungkan soalnya dibuat foto gak keliatan,",negatif,,
1400,gunung pegat,Nyaman akses kelokasi sangat mudah,,positif,positif
1211,gunung mas mantup,Rekreasi wisata istana gunung mas tetep protokol kesehatan pakai menikmati suasana alam sik asik mantab yuk mari,positif,,
1389,gunung pegat,"Tempat yang cocok untuk kemah keluarga. Tidak terlalu dingin, air tersedia banyak, murah. Masuk 2 ribu. Kemah 5 ribu per orang. Fasilitas air kamar mandi",positif,positif,
550,alun alun,ada beberapa fasilitas yg rusak dan blm ada penanganan dr pihak pengelola,,negatif,
1392,gunung pegat,No no no tempat kurang bersih,,negatif,
705,alun alun,"Untuk tempat publish setidaknya di samping alun"" terdapat jajanan yg bisa memanjakan para pecinta kuliner ...",,positif,
412,alun alun,"Tempatnya bagus, cocok untuk tempat nongkrong dengan keluarga, teman, atau pacar",positif,,
2382,wbl,"Banyak wahana menarik, usahakan jangan di waktu libur semester.",positif,,
2799,wego,Jalan nya masih ekstrim,,,negatif
956,goa maharani,Pengalaman yg menyenangkan bs berkunjung kesana,positif,,
2326,wbl,saran aja mushola yg ada d area kolam renang Deket foodcout kalau bisa agak lebih baik dikit. Seperti di lokasi2 wahana lain ...,,negatif,
2184,wbl,parkiran luas...waterpark nya juga aman bagi anak2...dan banyak wahana lainnya..,,positif,
1228,gunung mas mantup,"Kalau siang panas
Aku rekomendasiin kesana waktu sore aja",,,
135,alun alun,Tempatnya bersih dan nyaman buat nongkrong bersama keluarga,,positif,
2142,wbl,"WBL INI SERU SEKALII, tempatnya bagus, sejuk, nyaman, dan bersih. Cocok buat ide pose foto, dan disini saya punya kenangan yang indah",positif,positif,
505,alun alun,bagus untuk anak-anak main,positif,,
234,alun alun,Pengen naik bianglala nya tapi ga buka2,negatif,negatif,
2257,wbl,Sangat memuaskan,,,
1452,gunung pegat,Tempat yang asik menikmati suasana alami Sukoharjo,positif,,
1516,gunung pegat,"Tidak sesuai, tidak ada atraksi yang menarik",negatif,,
1612,pantai kutang,"Luar biasa indahnya, dengan harga tiket masuk yang murah meriah",positif,,
1858,pantai lorena,"pemandangan sangat indah, bisa diakses siapapun karena lokasinya pinggir jalan raya",,,positif
1265,gunung mas mantup,Oke,,,
974,goa maharani,Goa nya bagus.. satwanya lumayan lengkap,positif,,
1330,gunung pegat,Keren tempatnya ada kolam renang mini nya ala2 ubud bali,positif,,
39,alun alun,Bersih dan nyaman sekali buat anak bermain,,positif,
1021,goa maharani,Tolongg di gubris itu knp harimaunya kurusss bgt,negatif,,
1206,gunung mas mantup,coba kasih kolam renang...pasti tambah rameh...karena yg dituju anak kecil biasanya kolam renang,negatif,,
2462,wbl,Mantap,,,
2697,wego,Fasilitasnya banyak macamnya. Ada 2 musholla juga.,,positif,
2808,gunung mas mantup,"Fasilitas yang ditawarkan di objek wisata ini tidak sesuai harapan, ditambah lagi jalan akses yang bergelombang membuat kunjungan menjadi kurang menyenangkan.",,negatif,negatif
2563,wbl,"Tadi saya dan keluarga ke wbl ikut acara keluarga, dan jacket jeans kesayangan putri saya tertinggal di kereta di istana bawa laut tpi saya tanya ke petugas tidak ada respon, padahal jacket kesayangan anak saya",,negatif,
809,alun alun,"Alun-Alun kota Lamongan merupakan Alun-Alun yang berada di Lamongan dengan banyak fasilitas umum seperti tempat bermain anak-anak, taman, dan di sepanjang jalan Alun-Alun banyak pedagang kaki lima yang menjual makanan khas Lamongan seperti sego boran atau nasi boranan, tahu campur, bendeng calo, es siwalan dan banyak lainnya.",positif,,
2297,wbl,Menyenangkan,,,
820,alun alun,"Makanan khas Lamongan ""Sego Boran"" mantaap",positif,,
2047,waduk gondang,Swa foto & outbond,positif,,
1507,gunung pegat,Subhanallah viewnyaa,positif,,
2540,wbl,Berbagai macam wahana ada di wisata bahari lamongan yang harus anda coba. Seru bett,positif,,
301,alun alun,Tempat beemain yg menyenangkan..,positif,,
2335,wbl,"Asikkk bgtt.. Berasa private place.
Wahananya bisa semua kecuali rollercoster sm satu lagi gtw apa..",positif,,
1955,waduk gondang,"Teduh, banyak varian makanan dan cemilan. Ada kebun binatang mini dan aneka wahana permainan anak-anak. Mushola dan toilet juga memadai. Kalau mau naik perahu untuk berkeliling juga bisa dan harganya murah banget. ",positif,positif,
1829,pantai lorena,Sepanjang pantai terdapat tempat makan murah dan lengkap,,positif,
1979,waduk gondang,Tempat yg cocok untuk bersantai di sore hari. Tiket masuk murah. Banyak yg jualan juga.,positif,positif,
2271,wbl,Sangat menyenangkan. Wahana juga lengkap...,positif,,
1181,gunung mas mantup,Tempat nya bagus cocok untuk bersantai anak saya suka,positif,,
1655,pantai kutang,"Pantainya bersih, pemandamgan bagus",positif,,
560,alun alun,"tempat wajib dikunjungi kalo lagi ke lamongan nih, jujur sekarang alun-alun lamongan jauh lebih bagus kalo dibandingin sama yang dulu, sekarang tempatnya bersih karena sudah tidak ada pkl, lebih tertata dan lebih menarik.
lamongan megilan",,positif,
2139,wbl,"Tempatnya sangat luas,,Parkirannya juga luas...Wahananya juga banyak dan bagus,,gak kalah sama wahana2 di tempat lain,,Ada beberapa jenis binatang seperti di jatim park Secret zoo malang...Tp di sni,,kita bisa lihat dan santai sambil mnikmati suasana pantai tanjung kodok...",positif,positif,
343,alun alun,"agak susah cari toilet karna ditutup, sayang pas kesana wahananya ditutup agak kecewa sih tapi ya sudah",negatif,negatif,
30,alun alun,"Tempatnya bagus bersih banyak spot foto santai sama keluarga, mainan anak juga banya pilihan",positif,positif,
861,goa maharani,"Maharani zoo and goa memberikan pengalaman baru bagi anak2, mengenai satwa. Ada harimau, kudanil, beraneka jenis burung dan lain2.

Selengjalnya ada di youtube chanel kami Jelajah family",positif,,
1407,gunung pegat,"Nyaman enak buat nongkrong dengan keluarga,.sambil menikmati pemandangan alam yang indah",positif,,
1962,waduk gondang,Nyaman dan sejuk tempatnya enak buat kumpul dan acara keluarga,,positif,
595,alun alun,banyak juga yg rusak..,,negatif,
2125,wbl,Bagus,,,
366,alun alun,Berbagai menu Kuliner murah tapi nikmat joss,,positif,
2002,waduk gondang,Waduk indah & kebun binatang,positif,,
2451,wbl,Wisata murah dengan banyak wahana,positif,,
1560,pantai kutang,Tempatnya nyaman buat anak anak bermain...& bersih... Indah banyak spot foto,positif,positif,
2057,waduk gondang,Tempat untuk melepas penat,positif,,
662,alun alun,Bersih,,positif,
431,alun alun,Suasananya menyenangkan,positif,,
2519,wbl,Sip,,,
1069,goa maharani,"Sangat cocok buat edukasi anak², tempatnya myaman, harga tiket relatif murah",positif,,
485,alun alun,Bagus,,,
2205,wbl,Saat kesana arena bermain bersama kucing sedang tutup. Nggak ada petugasnya dan nggak ada kucingnya.,,negatif,
606,alun alun,"Bersih dan tertib, ada satpol pp berjaga",,positif,
1901,pantai lorena,Menarik,positif,,
658,alun alun,"bersih ,rapi tempatx",,positif,
2089,waduk gondang,"Pemandangannya indah, sejuk, dan banyak pepohonan rindang",positif,,
448,alun alun,Bersih dan luas,,positif,
2517,wbl,Mantab,,,
1025,goa maharani,"Tempatnya bersih, hnya saja untuk hewan2nya belum lengkap",negatif,positif,
2219,wbl,Wahana bagus Bersih.,,positif,
213,alun alun,"Pada saat ini fasilitas² di alun² membutuhkan perawatan.
Alangkah baiknya di jadwalkan perawatan secara berkala per/brp bulan sekali demi kenyamanan&keamanan bersama.
#Lamongan_megilan",,negatif,
1339,gunung pegat,Pemandangan bagus.,positif,,
3,alun alun,"Merupakan taman kota yang cocok untuk mengajak anak-anak. Banyak fasilitas permainan untuk anak-anak, namun banyak yang rusak. Ada juga wahana bianglala yang beroperasi untuk memanjakan pengunjung untuk melihat panorama kota Lamongan dari ketinggian.",positif,negatif,
2736,wego,Beraneka mainan dan tempatnya asri di kelilingi pepohonan sejuk alamnya,positif,,
2802,pantai kutang,harus  hati-hati  karena permukaan yang tidak stabil dan bergelombang.,,,negatif
1519,gunung pegat,Baik,,,
623,alun alun,Bersih indah,positif,positif,
1428,gunung pegat,"Untuk swafoto bagus sekali, panorama alam,
silahkan meluncur ke lokasi.
Wisata kec.Bulu, Kab.Sukoharjo",positif,,
1958,waduk gondang,"Suasana nyaman, dan mainan wahana anak cukup banyak, namun beberapa ada yang rusak dibiarkan saja tidak dioerbaiki..
Mungkin kedepannya perawatannya bisa lebih diperhatikan agar pengunjung lebih senang..",,negatif,
2395,wbl,"Tempatnya bagus, banyak pilihan wahana. Toilet juga banyak di setiap sudut, yg jelas juga kebersihan terjaga.",positif,positif,
2657,wego,"Lumayan tempatnya luas, makanan enak dan murah",,positif,
2051,waduk gondang,asyik buat ngopi,positif,,
173,alun alun,"Masjidnya indah dan megah syangnya td ada area parkir khusus masjid,,prkir di area alun2",positif,negatif,
2718,wego,Tidak terawat. Toilet kotor sekali. Banyak sampah. Banyak nyamuk. Tidak ada yg jual makanan kecuali di parkiran. Banyak fasilitas yg rusak,,negatif,
2449,wbl,"keren banget
puas bisa main keliling di sini
wahana nya mantab mantab banget

semoga jaya selalu",positif,,
898,goa maharani,Lumayan komplit hewannya,positif,,
1217,gunung mas mantup,Masih kurang pepohonanya untuk mengurangi terik matahari karna kalau musim kemarau panas sekali,,negatif,
1988,waduk gondang,Karena biasa melihat suasana indah,positif,,
2804,pantai kutang,"Pemandangan di objek wisata ini mungkin mengagumkan, tetapi jalan bergelombangnya bisa mengurangi kesenangan perjalanan.",positif,,negatif
1557,pantai kutang,"Pertama kali ke sini, ini foto desember 2021 kmrn, tempatnya kayaknya msh baru, pas ke sana msh pagi, jd airnya surut ga bisa buat maen air karena banyak kerang2nya gt, kamar mandi warung2 banyak, murah2 jg, buat nongki2 santai gt enak kok, lumayan lah buat maen ama keluarga, tp jgn expect too much lah pokoknya.",positif,positif,
1080,goa maharani,Hewan banyak dan juga ada goa,positif,,
410,alun alun,"Lumayan bagus. Cuma sayangnya bianglalanya tidak di fungsikan, padahal bagus kalau naik dan lihat pemandangan dari atas. Semoga segera diperbaiki kembali.",negatif,,
2604,wbl,Wahananya banyak dan menarik,positif,,
1715,pantai lorena,"Pantai pinggir jalan, mudah diakses, banyak penjual makanan,
kebersihan harus lebih dijaga pengunjung dan warung penjual makanan",,negatif,positif
671,alun alun,sangat bersih,,positif,
1476,gunung pegat,Nyaman buat nyantai bareng keluarga atau pasangan juga,positif,,
1525,gunung pegat,Bagus,,,
512,alun alun,Sayangnya mainan nya banyak yang rusak,,negatif,
1993,waduk gondang,Oke nih tempat nya,,,
1300,gunung pegat,"Jalan menuju kesini tdk bgtu extrim, naik nya cor blok halus...monggo silahkan mampir kalau lewat area jln trabasan klaten - wonogiri",,,positif
1171,gunung mas mantup,panas....kurang pas lokasinya di maps sampai nyasar2....bagus sih tempatnya lebar & luas…,positif,,negatif
461,alun alun,nyaman bersih,,positif,
2502,wbl,Luas,,,
1471,gunung pegat,Love bgt deh viewnya,positif,,
2872,pantai kutang,jangan pakai kendaraan yang rendah karena jalan berlubang di sekitar objek wisata ini,,,negatif
727,alun alun,Banyak permainan,positif,,
2624,wbl,Jalannya cukup lebar sehingga sangat nyaman untuk berkendara,,,positif
2737,wego,"Lumayan, tapi harganya cukup membuat kantong bolong. Padahal wahananya ya biasa aja tapi kok harganya mahal. Heran saya,kalau disuruh mengunjungi ini lagi mungkin saya akan menolak",negatif,,
