objek wisata,ulasan,atraksi,amenitas,aksesibilitas
alun alun,Banyak tikusnyaaaaaaaa,,negatif,
alun alun,toiletnya ngga ada sabunnya hmmm,,negatif,
gunung pegat,Subhanallah viewnyaa,positif,,
alun alun,Mantap kopi nya,,positif,
gunung mas mantup,istimewa,,,
alun alun,Sekarang lebih bersih & tertata rapi,,positif,
wbl,Lenkap dan indah,positif,,
gunung mas mantup,Cocok tuk bersantai tenangkan fikiran,positif,,
gunung pegat,Tempatnya asik buat gowes lumyan untuk tanjakannya dan juga tempat wisata setiap weekend pagi cukup ramai pengunjungnya sma pedagangnya harga nya juga cukup terjangkau,positif,positif,
wbl,Tmpat wisata,,,
pantai lorena,Menghabiskan waktu sambil makan rujak + es kelapa muda,positif,,
pantai lorena,Tempatnya cocok buat ngumpul bareng teman atau keluarga,positif,,
goa maharani,Edukasi,positif,,
gunung pegat,"Pengalaman pertama saya pemandangan indah, ada peralatan fitnes, warung makan, dan ada pemondokkannya. terimakasih",positif,positif,
pantai lorena,Ditinjau lagi karcis parkirnya,,negatif,
alun alun,"Bersih...
Asri",positif,positif,
pantai lorena,Asyik...murah meriah...,positif,,
gunung pegat,"Keren Gunungnya, mantap viewnya, agak nanjak jalan masuknya",positif,,negatif
wego,"MEMBOSANKAN, PANAS, JALANNYA RUSAK SEMUA, TEMPAT PERMAINANNYA SUDAH RUSAK SEPERTI TIDAK TERURUS.",negatif,,negatif
pantai lorena,"Tempatnya sih bagus dan dekat dgn jalan raya, tapi kadang kalau sdg surut ada sebagian sampah yg tersangkut ditepi pantai dan itu saya rasa cukup menggangu..",,negatif,positif
gunung pegat,"Tempat bagus ,pemandangan indah",positif,,
goa maharani,Tempatnya bersih dan banyak koleksi hewan langka,positif,positif,
gunung mas mantup,Memuaskan untuk foto selfi,positif,,
alun alun,"Cukup ramai di hari minggu, mainan favorit anak2 yaitu prusutan,
Ada banyak spot foto yg bagus..ada monumen pesawat,taman burung, air mancur,  bianglala, dll.. Tempat yg murah meriah untuk bermain anak dan keluarga",positif,positif,
alun alun,Bersih,,positif,
goa maharani,Tempatnya bersih dan nyaman untuk anak-anak,,positif,
waduk gondang,"Tempatnya rindang, asri",,,
alun alun,Sangat menyenangkan dan sejuk,positif,,
pantai kutang,Tempat wisata yg murah dan indah,positif,,
wbl,Nice Wisata,,,
wego,Monggo Liburan di WeGo banyak discon dan dapat sovenir emok WeGo Cantik,positif,,
goa maharani,"Hewannya lumayan lengkap, sangat cocok jika berkunjung dengan si kecil",positif,,
goa maharani,"Tiket masuk kok mahal banget ya....!???
Apa krn Lebaran?  Naik sampai 3x lipat..",,,negatif
goa maharani,"Tempatnya nyaman ,indah ,dan seru",positif,positif,
alun alun,sekarang tempatnya makin baguss..,positif,,
alun alun,"Pedagang untuk jajan disekitar sangat tidak recomended, mnding klw kesana bawa bekal sendiri dri pda nnti menyesal",,negatif,
alun alun,bagus untuk anak-anak main,positif,,
alun alun,Bagus rapi dan bersih,,positif,
alun alun, Sebelah barat mohon di kasih penerangan yg baik,,negatif,
wbl,Bagus kok tenang ada rumah hantu juga ko dan mainan yang bagus banget,positif,,
alun alun,"2 kata soal alun2 lamongan yaitu LUAR BIASA menyenangkan tepatnya,,,bersih,,lengkap prasaranya,,lengkap permainan buat anak2nya dan juga sangattt indah sekali tempatnya...semoga sllu dijaga keamanan dan kebersihanya ya..",positif,positif,
alun alun,Cocok buat healing tipis2,positif,,
alun alun,Asyik banyak mainan tapi perlu pemeliharaan untuk mainan rusaknya,,negatif,
wego,Cocok bersama keluarga,positif,,
pantai kutang,Nyaman untuk wisatawan dan patut untuk di kunjungi,,positif,
wbl,wahana cukup bagus dan fasilitas beragam,positif,positif,
pantai lorena,Bagus dan indah,positif,,
alun alun,bangun pagi kerja habis kerja ngopi habis ngopi tidur lanjut kerja lagi,,,
pantai lorena,"Waktu sore sangat disarankan, karena waktu sunset pas banget. Beautiful picture",positif,,
goa maharani,Asik tempatnya ada kebun binatang mini juga,positif,,
alun alun,"Tempatnya bagus,  indah dan ada juga taman bermain yg cocok untuk mainan ponakan saya yg berusia 2 tahun.",positif,,
alun alun,"Bagus, banyak sarana bermain untuk anak anak",positif,,
alun alun,Lebih bersih dan nyaman,positif,positif,
alun alun,untuk urusan konsumsi kayaknya kurang bnyak pnjualnya.,,negatif,
alun alun,"Tempat hiburan mulai anak-anak sampai orang tua bs bersantai, berolahraga dll. Ditunjang dg prasarana yg memadai, dekat dg masjid agung Lamongan juga,wes pokoke Josh",,positif,
pantai lorena,Lumayan utm spot fto .,positif,,
pantai lorena,Lokasinya yang berada di tepi jalan raya membuat tempat ini sangat mudah diakses,,,positif
goa maharani,Tempat nyaman,,positif,
pantai lorena,"Pantai dengan bebatuan estetik memang menarik, tapi nampak kalah dengan sampah di pesisir yang terlihat, mohon pemerintah kota setempat serta jajaran masyarakat bisa mengedukasi ke siapapun yang mampir di pantai ini, jgn sampai lah nama paciran dan bahkan bisa jadi nama lamongan jadi jelek gara2 gak peduli akan lingkungan.. Semoga kelak menjadi lebih baik lagi paciran Lamongan setempat.. Aamiin.",positif,negatif,
gunung pegat,Baik,,,
alun alun,Bersih dan rapi,,positif,
wbl,Saya sangat suka mengujungi wisata bahari lamongan Karena banyak permainan yang sangat mengedukasi,positif,,
goa maharani,Mantap...edukasi + pengenalan tentang binatang buat yang punya anak balita,positif,,
pantai kutang,kondisinya lumayan baik..akses jalannya sudah mulai membaik,,,positif
alun alun,Alhamdulillah lancar semoga diberikan sinyal yg kuat,,,
alun alun,Bersih asri...,positif,positif,
wbl,Pantai yg indah...,positif,,
gunung pegat,Monggo yg mau menikmati ke indahan alam wilayah bulu,positif,,
wbl,mantab,,,
alun alun,Aloon Aloon Kabupaten Lamongan adalah sebuah taman kota yang berada di pusat kota Lamongan serta banyak juga orang yang berjualan makanan khas Lamongan seperti Nasi Boran,positif,,
gunung mas mantup,hanya sebatas foto foto aja,negatif,,
alun alun,"Taman kota yang representatif untuk apa aja. Dilengkapi dengan fasilitas yang cukup lengkap, mulai arena bermain anak, olahraga, aneka satwa, pesawat tempur TNI, aula terbuka, panggung serbaguna dan lain-lain. Sangat cocok untuk family time.",,positif,
gunung pegat,"Sejuk, murah meriah",positif,,
goa maharani,"Sangat mengedukasi buat anak"" Saya terimakasih",positif,,
waduk gondang,mantap,,,
alun alun,banyak spot selfie,positif,,
alun alun, klau mlm hari peneranganya kurang,,negatif,
waduk gondang,Tempatnya sejuk. Enak untuk dibuat mancing,positif,,
wbl,Bagus,,,
alun alun,Enak buat joging pagi dan sore,positif,,
pantai lorena,Tempat yang indah. Tempat yang bagus untuk fotografi,positif,,
pantai lorena,Efek corona jadi sepi,,,
wego,Untuk petunjuk Arah Jalan yang kami rasa masih kurang..tapi masih bisa kita atasi dengan menggunakan maps google..,,,negatif
pantai lorena,Siip tempatnya luas bagus,,,
waduk gondang,Untuk menghilangkan penat dan stress ok banget,positif,,
goa maharani,Cocok sekali untu anak2 belajar didunia luar,positif,,
gunung pegat,Tempat wisata murah meriah,positif,,
alun alun,"kurang tertata rapi...
sampah masih berserakan...
taman air mancurnya tidak terawat...",,negatif,
alun alun,Tempat yg bisa jadi rekomendasi untuk berlibur bersama keluarga dan kerabat .,positif,,
gunung pegat,Tempat bagus,,,
wbl,"Wahana bermain untuk keluarga, banyak pilihan untuk bermain, termasuk berenang juga.",positif,,
gunung mas mantup,"Pemandangan indah. Instagramable. Dekat dengan jalan raya, Rugi gak mampir jika lewat sini. Ditambah kolam renang dan kolam pancing + josss....",positif,,positif
alun alun,"Keren, bagus, banyak wahana anak, taman juga bersih, deket sama masjid, jadi enak, cuman kalau siang panas banget, tapi oke lah",positif,positif,
goa maharani,"Tiket masuk standart. Yg menyenangkan petugas nya smua ramah, fasilitas lengkap",,positif,
wego,Lokasi lumayan jauh dari jalan kota…,,,negatif
gunung mas mantup,Bagus dan spotnya banyak.... Tapi panas,positif,negatif,
alun alun,Kran air yang disediakan untuk cuci tangan sama sekali gak ada yang nyala,,negatif,
wbl,view pantai nya ciamik,positif,,
gunung pegat,"Mantap, Tempatnya Syahdu, Lokasi Hanya 3km dari Perumahan Syariah Samara 3 Kota Nguter",,,positif
pantai lorena,"Bagus tempat bs buat foto"" cantik air juga jernih banget bersih",positif,,
waduk gondang,Swa foto & outbond,positif,,
alun alun,Bersih indah juga ada sarana bermainnya untuk anak Ditambah sekarang ada bianglalanya,positif,,
alun alun,Indah,positif,,
wbl,"Tempat luas banyak tong sampah lucu bentuknya
Seru wahananya",positif,positif,
gunung pegat,Destinasi desa wisata yg perlu jd new experience goeserrr,positif,,
alun alun,"Kalo Minggu rame banget, mau cari sarapan macem2",,positif,
wego,Tempat ini cukup menarik untuk wisata keluarga .,positif,,
wbl,"bersih, tertata masih sama saat masih awal dibuka dulu",,positif,
pantai kutang,Murah banget. Tp sesuai lah dengan harga yang dibayar. Pantainya sempit banget. Dari pada cuma secuil mending dibikin hutan mangrove semua. Kebersihan kurang,negatif,negatif,
pantai kutang,"Kini akses jalan ke Pantai Kutang sudah mulai bagus, sehingga para wisatawan dapat dengan mudah menjangkaunya.",,,positif
waduk gondang,"Kalau mau ngobrol santai diluar rumah, disini cocok bangettt",positif,,
waduk gondang,Aku kesini kalau pengen penyetannya.,positif,,
gunung pegat,Mantap tempat asyik buat nongkrong,positif,,
gunung pegat,Keren tempat luas bersih kuliner murah meriah..,,positif,
gunung pegat,Bukit dengan macam wahana hiburan dan pemandangan alam sukoharjo yg indah.,positif,,
pantai lorena,Nyantai sm makan rujak buah pinggir pantai. Nyantai yg ramah dikantong,positif,,
pantai kutang,Tempatnya bagus buat foto2,positif,,
pantai kutang,ada banyak warung disana ..,,positif,
wbl,"tempat berlibur yang cocok untuk anak anak, kaula muda dan keluarga. banyak wahana yg dapat dicoba dari yg kids friendly sampai wahana ekstrim
ada watersport juga karena dekat dengan laut, seru",positif,,
alun alun,"Bersih, nyaman... ",,positif,
wbl,Bagus Banget,,,
alun alun,playground gratis. hihihi,positif,,
wbl,Tempat yg indah dan nyaman,positif,positif,
wbl,"Masih seperti tahun yang lalu.
Kamar mandinya yang kurang baik ",,negatif,
alun alun,"Tempat bermain anak, Alun"" Lamongan.",positif,,
alun alun,suka banget sama bianglalannya,positif,,
gunung mas mantup,Bagus,,,
goa maharani,Menyenangkan dan pengen balik lg kesini,positif,,
gunung mas mantup,Tempat wisata yg keren untuk dikunjungi  harga murah meriah  wisata favorit walaupun tempat.ny panas tetap bisa menikmati spot selfie yg keren²  selamat berkunjung d wisata GUNUNG MAS,positif,,
wego,"Jalan ke WEGO kalau dari arah Timur nanjak terusss, jadi harus prepare dan selalu berhati hati.",,,negatif
wbl,ada beberapa wahana yang terlihat tidak terawat,negatif,,
alun alun,Oke bersih rapi,,positif,
alun alun,Biang lala nya kenapa jarang beroperasi,negatif,,
gunung pegat,Bguss ad buat kemping,positif,,
gunung pegat,Pemandangan yg enak dimata,positif,,
wbl,Tempatnya cocok buat ngajak liburan anak. Jarak dari kota Lamongan cukup jauh juga. Parkiran untuk kendaraan roda 4 luas.,positif,positif,negatif
wego,Sudah beberapa kali kesana dan memang tidak membosankan pingin ksn lagi,positif,,
waduk gondang,Ok,,,
alun alun,Bagus banget,,,
wbl,Menyenangkan,,,
pantai kutang,"Jembatan panjang, tanaman bakau, pantai pasir karang, beberapa spot foto. menarik, tp bukan buat renang. Hehe",positif,,
gunung pegat,"Destinasi indah,, biaya murah,,",positif,,
alun alun,masih ada permainan yg tak terawat,,negatif,
wbl,Lokasi d jalan pantura sehingga mempermudah pencarian dan akses ke mana mana,,,positif
gunung pegat,"Beginilah waktu dulu. Tak ada kendaraan berasap. Udara begitu bersih, tumbuhan hijau tumbuh dengan suburnya.
Yang membuat kita bisa menikmati pesonannya.",positif,,
wbl,Wisata keren & juga lengkap untuk semua usia di pesisir LA,positif,,
wbl,Tempat yang luas dan banyak aneka wahana permainan,positif,,
gunung pegat,Wisata alam diatas perbukitan dan aneka kuliner dan pemandangan yg indah,positif,positif,
pantai kutang,"Jalan menuju lokasi mulus, pantai indah dan bening",positif,,positif
alun alun,Nyaman ,,positif,
goa maharani,"Liburan kesini pas masih SMP, study tour rame-rame",,,
wbl,Bagus banget,,,
gunung pegat,Jalannya naik naik... Ke puncak gunung... Bagusnya kalau pagi melihat sunrise,positif,,negatif
wbl,Bagus,,,
wbl,Tidak sesuai dg foto masih bagus dg jatim park / taman safari,negatif,,
gunung mas mantup,jalan masuk-keluar kendaraan masih semrawut,,,negatif
alun alun,tmepat santai untuk kumpul keluarga banyak orang jualan makanan,positif,positif,
goa maharani, Fasilitas cukup memadai. Pelayanan ramah.,,positif,
wbl,Makin mantab,,,
alun alun,"Melipir jalan2 disekitar alun-alun dan masjid bisa menikmati makanan khas Lamongan, ada soto, tahu campur, tahu tek, lalapan sampai bakso. Semua nya ada, just info untuk bianglala nya free cuma ada jadwalnya jadi usahakan pas jadwal ya",positif,,
wbl,Bagus dan baik,,,
goa maharani,"Hewan cukup banyak, tempat bermain anak2 free tdk d pungut biaya lain",positif,,
pantai lorena,Pantainya sejuk,positif,,
alun alun,Arena permainan dirasa masih baru tp penerangan kurang baik,,negatif,
wego,akses jalan menuju wisata masih kurang,,,negatif
alun alun,bianglala lagi perawatan jadi jarang beroperasi,negatif,,
waduk gondang,dari jalan utama sangat jauh jalan masuknya banyak hutan hutan jadi dan jadi kalau mau kesini pastiin BBM penuh ya soalnya belum ada pom bensin,,,
alun alun,"Alun-alunnya bagus dan bersih. Tertata apik. Tempat bermain warga lokal lamongan. Ada bianglala lumayan besar, play park untuk anak-anak, kandang burung juga ada.

Untuk parkir di sekeliling area alun-alun.",positif,positif,
pantai kutang,"Bagus bgt sik tempatnya, airnya juga jernih",positif,,
wbl,"Recommended untuk liburan bersama keluarga, teman dan pasangan. Banyak pilihan wahana seru, asyik dan cocok untuk anak2.",positif,,
alun alun,"Di siang hari tergolong sangat panas, tdk bnyak pohon,  bagian kandang burung tidak terawat..",,negatif,
wbl,Tempat nya bagus sekali,,,
pantai kutang,"Ada tempat sampah, parkiran lumayan luas untuk kendaraan seperti mobil, elf, tempat cuci tangan, bersih, bisa nyemplung ke laut, ada tempat snack, rujak buah, es, spot foto bagus, cocok buat tempat healing",,positif,
alun alun,Ruang terbuka publik yg kaya wahana permainan,positif,,
goa maharani,Merupakan sarana edukasi yang sangat direkomendasikan. Memadukan antara kebun binatang dengan gua secara baik. Fasilitas penunjang lengkap dan dikelola secara profesional. Tidak hanya bermanfaat untuk healing but more than healing bro,positif,positif,
goa maharani,"Tempatnya cocok untuk anak anak, sayang di beberapa spot sperti kurang terawat dan kurang bersih",positif,negatif,
pantai lorena,senang melihat matahari terbenam di musim panas,positif,,
pantai lorena,Sip mantap,,,
alun alun,tempat nyaman juga bersih. jadi kangen main kesana,,positif,
wbl,Banyak yang kurang,,,
pantai kutang,"pantai nya bagus lumayan buat spit foto atau prewed, hanya saja akses masuknya melalui jalan yang cukup sempit",positif,,negatif
alun alun,Tempat yg cocok buat ajak anak2. Banyak Playground.. tempat luas...,positif,,
alun alun,"Tempat nyaman, tempat olahraga raga dan banyak makanan khas Kota Lamongan",,positif,
wbl,Cukup bagus..wahananya juga cukup lengkap.,positif,,
waduk gondang,Tempatnya rindang,positif,,
waduk gondang,"Waduk Gondang Sugio Lamongan pemandangan bagus, tempat bermain, perahu, warung, tempat parkir, dll.",positif,positif,
wego,Masih perlu pengembangan,,,
waduk gondang,Suka...skrg lumayan bagus tp msh krg perawatan..,positif,negatif,
wbl,Okay,,,
alun alun,"Alun-alun kota Lamongan, sekarang tempatnya lebih bersih, ada wahana bianglala, air mancur, dan lebih rapih.. hanya sayang permainan untuk anak-anak yg sudah dulu ada, banyak yg kurang terawat, seperti ayunan, perosotan, masih sama seperti tahun 2017 lalu..",positif,negatif,
alun alun,"Bersih dan tertib, ada satpol pp berjaga",,positif,
wbl,Wisata Bahari Lamongan ..tempatnya sangat bagus tuk anak anak dan orang tua...bisa bersepeda di tepi laut sambil menikmati laut yg indah..buruan ya,positif,,
alun alun,"Kerennn. Perpaduan cahayanya keren. Masjidnya juga nyaman. Cocok banget buat yang belum pernah ke lamongan. Untuk sekadar nyari angin, atau foto2 tempat ini cocok. Parkiran murah, aman, dekat dengan alun2. Terlebih kuliner sekitar alun2 juga banyak. Kalo ke lamongan, wajib kesini pokoknya!",positif,positif,
gunung pegat,Tempat yang masih alami,positif,,
gunung pegat,Wisata alam terbaru dengan spot alam terbuka,positif,,
gunung mas mantup,"Suka bgt.. Instagramable, banyak spot foto dengan kata2 puitis.. rumah Chinese, dan mainan anak. Tiket masuk 5k/org masih ada beberapa tempat yang akan di bangun",positif,,
pantai kutang,"Tempatnya bagus, ada jembatan panjang  diatas laut yg bikin seru. Buat yg blm pernah kesana mungkin agak bingung ya krn tempatnya masuk gang",positif,,negatif
goa maharani,"Wahana edukasi buat keluarga dan anak- anak sekolah, lokasinya luas, adem banyak pepohonan, spot foto yang menarik.
Ada goa juga didalamnya, selain memberi makan hewan.",positif,,
pantai kutang,"Murah sekali, jadi sebanding sama harga yang dibayar. Pantainya sempit, jangan berekspekstasi lebih.",negatif,,
pantai kutang,"Tempat melepas kepenatan. Untuk menuju pantai nya harus melewati dermaga yg keren dan asik.
Monggo dicoba..",positif,,
wbl,Bagus ....wahananya tambah bervariasi,positif,,
alun alun,"Agak panas, tempat berteduh masih sedikit",,negatif,
alun alun,Jangan lupa kalau ke Lamongan mampir di alun alun dan makan nasi boran khas lamongan...enak rek...,positif,,
pantai lorena,pemandangan laut indah,positif,,
alun alun,"Bagus, bersih",,positif,
wbl,"Akses ke wisata bahari Lamongan melalui jalan pantura juga mudah dijangkau dari kota-kota di luar Jawa Timur seperti Jakarta, Semarang, dan Yogyakarta",,,positif
pantai lorena,Tempat istraht nyaman ,,positif,
wbl,Tempat yang sangat recommended bgt,positif,,
goa maharani,"Binatang2 dsna lumayan byk, ank2 suka&sng,sbg edukasi jg....",positif,,
pantai kutang,Bagus tapi alangkah baiknya tempat parkirnya agak diperluas dan selengkap nya oke lah,,negatif,
alun alun,"Bersih seperti biasanya, tempat ramah anak,",,positif,
pantai kutang,"Pantai yg indah, ombaknya tenang, cocok untuk menikmati sunset maupun sunrise.",positif,,
pantai lorena,mudah dijangkau karena berada di pinggir jalan raya,,,positif
alun alun,"Saya pernah beberapa kali mengunjungi dan terkesan bersih dan rapi dengan beberapa penambahan fasilitas olahraga yang cukup banyak,",,positif,
alun alun,Tempatnya bagus dan bersih,,positif,
wbl,Joss,,,
alun alun,Anak anak saya senang saat bermain disana..,positif,,
wego,"Klo kamu mau tempat penginapan beserta fasilitas lengkap berbayar yg low prices, disini sangat kami rekomendasikan. Ada jg ruang pengipanan utk keluarga besar. ",,positif,
pantai lorena,Saat air laut surut tampak lebih indah,positif,,
wego,"Tempat jauh, akses menuju lokasi jalan kurang enak. ",,,negatif
alun alun,"Selain dekat dengan masjid, jajanan di sekitar sini juga ajib2. Pentol dan jus buah nya ajibb",,positif,
wbl,Jalannya cukup lebar sehingga sangat nyaman untuk berkendara,,,positif
goa maharani,"Recomended buat wisata keluarga, edukasi buat anak..",positif,,
pantai lorena,Enak buat istirahat,positif,,
alun alun,"Yah semuanya itu indah kalau tidak terlalu ramai, bisa menikmati.. Mantaap..",positif,,
alun alun,Tempat kuliner khas lamongan nasi boran,positif,,
goa maharani,Good,,,
alun alun,"rame, asri, tempat yang pas untuk berkumpul dengan keluarga",positif,,
alun alun,Cukup cantik dan indah,positif,,
waduk gondang,Tempat parkis luas dan bisa leyeh leyeh di lokasi...,,positif,
goa maharani,Tempat yang baik untuk mengenalkan hewan kepada anak anak ...,positif,,
alun alun,DI SINI FAVORIT MAKANAN SAYA,,positif,
gunung mas mantup,Bagus bangt,,,
pantai lorena,Sore2 makan duren sama es di pinggir pantai,,positif,
wego,tiket masuk terlalu mahal,negatif,,
alun alun,Bisa beribadah di masjid agungnya,,positif,
alun alun,"bersih, luas, aman, dan nyaman",,positif,
alun alun,Bersih,,positif,
wbl,"Seperti jatimpark 1 banyak wahana , bedanya cuman ada lautnya, tapi bagus bgt kok",positif,,
pantai lorena,"Buat nyantai sore"" lumayan seru dengan pemandangan pantai karang yg lumayan bagus buat foto-foto bareng keluarga. Parkir gratis klo motor, kurang tahu yg mobil tetapi terakhir kesana udah ada tukang parkir buat mobil. Untuk makanan lumayan banyak dan enak.",positif,positif,
wego,Lumayan bagus HTM terjangkau,positif,,
wbl,"Kesini cuma cari oleh2 saja.. Ternyata oleh2  rata2 sdh dikemas 10.000 dpt 3 utk kripik2 an. Tp sy cari yg khas.. Jenang pacirsn tidak ada. Yg khas lainnya berbagai krupuk, kripik ikan layur, gula aren, ada pasong yg dbungkus spti lepet tp syg 1 hari sdh lender, trasiii",,negatif,
waduk gondang,fasilitasnya banyak yang kurang terawat,,negatif,
goa maharani,"Tempat bagus adem edukasi anak
Tapi sayang musim libur parkiran penuh parkir",positif,negatif,
gunung mas mantup,"beberapa tempat agak panas, kurang teduh untuk di taman nya.",,negatif,
alun alun,"Bagus, bersih.. ramah buat anak bermain..",,positif,
pantai lorena,Keren,,,
wbl,"seru mengasikkan,sayang saya tidak pergi bersama ibu saya",positif,,
pantai kutang,Pantai nya mantap dan nyaman buat refreshing bareng keluarga,positif,,
wego,Lokasinya dekat dengan waduk Gondang Lamongan. Banyak gazebo sehingga cocok untuk kumpul keluarga dan melepas Penat. Cuma kalau lagi panas disini panas sekali hawanya.,positif,positif,
alun alun,Jalannya bagus,,,positif
alun alun,Bagus sekali,,,
pantai kutang,"Parkiran luas.
Kamar mandi bilas bersih
Harga maknan di sana terjngkau

Fasilitas bermain kurang.
Di sepanjng pantai saya temulan bayak sampah sayang tidak ad petugas kebersihan.
Bagi yang mau berkunjung ke sana  dengan bantuan google maps harap berhati hati karena akan di sarankan lewat "" kampung kerapu"" sedangkan jalan tersebut  mengarah ke kawasan tambak bukan kepantainya dan tidk bisa di lalui mobil. Harap cari jalan lain",,negatif,negatif
alun alun," playground beberapa ada yang rusak, prosotan ada yang bolong . Kalo minggu ramai CFD disini. Semoga makin ditingkatkan kebersihannya",,negatif,
gunung pegat,Wisata alam yang indah...syahdu,positif,,
wbl,pwahana dalam kondisi baik dan terawat,,positif,
gunung pegat,"Baru pertama kali masuk sini MasyaAllah, di sambut indahnya pemandangan klo di lihat dr atas bukitnya,",positif,,
alun alun,Bersih nyaman,,positif,
wego,"Tiket masuknya 25.000
Gratis renang dan masuk pesawat",positif,,
alun alun,Tempat yang nyaman untuk bermain dengan anak-anak,,positif,
alun alun,Bagus bersih dan indah,positif,positif,
pantai lorena,Pantainya biasa saja namun cukup bagus untuk melepas penat dn melihat lautan,positif,,
alun alun,"Pengalaman saya di alun-alun Lamongan itu sangat indah dan sehat , menarik",positif,,
alun alun,Sudah banyak perubahan dari terakhir kali kesini. Banyak ayunan & tempat bermain lainnya yg uda mulai di cat ulang & diperbaiki.,,positif,
wbl,Berbagai macam wahana ada di wisata bahari lamongan yang harus anda coba. Seru bett,positif,,
gunung pegat,Lokasi bagus banget...makanan di area enak anak dan murah,,positif,
gunung pegat,"GP ,,,view menarik buat pemula goweser ,,,salam sehat",positif,,
gunung pegat,"Viewnya apik poll apalagi pas sore, disini juga bisa buat camp",positif,,
wbl,Bagus sekali,,,
goa maharani,Masya Allah indahnya ciptaanMu.,positif,,
wbl,"Selalu suka studytour kesini, makin banyak wahananya",positif,,
wego,Jalan menuju ke sana rusak,,,negatif
alun alun,Udah bagus tapi masih banyak yang buang sampah sembarangan,,negatif,
wbl," bagus, tapi minusnya adalah hewan hewan didalamnya kurang terawat, terlihat kurus kurus dan bahkan ada yg terluka, ada rusa yang lengannya terluka sampai terlihat dagingnya, terlebih kucing kucing di destinasi rumah kucing. mungkin karena dampak finansial dari covid, tapi saya harap kedepannya lebih dijaga lagi hewan hewan tersebut karena mereka juga makhluk hidup.",negatif,,
pantai lorena,bagus,,,
pantai lorena,Buat nyantai sambil ngopi plus menikmati nuansa pantai,positif,,
alun alun,"Pusat kota soto, enak sekali",positif,,
waduk gondang,Sore hari di waduk Gondang,,,
alun alun,"Lamongan kota soto,  sego boran.... Sangat romantis saat menjelang maghrib.....",positif,,
alun alun,Setelah renovasi masjid menjadi sangat bagus,,positif,
pantai lorena,Lumayan Rame,,,
wbl,Tempat ini bagus pemandangan ya,positif,,
goa maharani,"Tempatnya bersih, hewannya lebih banyak dan bervariasi, senang sekali kesini bersama keluarga. Bisa jadi alternatif baru untuk berlibur di kebun binatang. Goa maharani nya masih ada. Semuanya bagus lah. Cuma kurang ada foodcourt aja. Hanya ada jualan minuman dan snack lumayan laper banget keliling sini meski sekedar foto2 bercanda tawa bersama keluarga. Disini jg ada kolam renang jadi nya di dalam piramid. So, selamat liburan gess",positif,negatif,
wbl,Mantab,,,
alun alun,"Alun alun lamongan sekarang lebih bagus,banyak permainan anak  anak,air mancur menari dan juga ada bianglala gratis.anak anak pasti suka kalau di ajak ke sini tempatnya juga bersih dan nyaman",positif,positif,
alun alun,Penerangan di alun-alun Lamongan kurang terang,,negatif,
wbl,"gua insect nya ngeri karena nggak ada petugas yg jaga dan pas aku masuk nggak ada pengunjung satupun mana guanya ternyata lebih panjang dari maharani. Tolong dikasih petugas jaga ya, dan tolong itu patung buaya horor banget ditaruh situ",,negatif,
pantai lorena,Mantap,,,
wbl,Keren,,,
wego,Tempatnya ok buat wisata keluarga,positif,,
goa maharani,"Lumayan bersih!!
Cuma ada beberapa binatang yg sudah tidak ada di kandangnya!!!",negatif,positif,
goa maharani,Kebun binatang di pinggir laut daerah Lamongan hanya lokasinya agak jauh dari kota surabaya.,,,negatif
alun alun,Tempat yg menyenangkan bnyk permainan anak gratis.. Lebih seneng lg karna bnyk burung dara yg terbang bebas menambah asri alami,positif,,
alun alun,Trotoarnya bnyak yang berlubang,,negatif,
alun alun,"Agak susah ya klo mau parkir, tempat cuci tangan sabunnya gak ada isinya hehe, klo rehat pas pagi nyaman sih udaranya segar permainan buat si kecil juga banyak",positif,negatif,
gunung pegat,Sejuknya menjadi fresh pemandangan,positif,,
wbl,"Tempat yang cocok banget buat anak-anak. Ada berbagai permainan yang menarik buat anak-anak sampai orang dewasa. Dan ada kolam renang yang tentunya bisa dipakai segala usia. Kalo kesini mending beli tiket terusan wbl+mzg karena biar sekalian bisa keliling liat berbagai macam hewan + masuk ke Goa Maharani. Selain itu hampir semua permainan free kalo pake tiket terusan jadi enak bisa main sepuasnya. Selain itu mending datengnya agak pagi biar waktunya lebih lama dan santai nggak keburu tutup, karena tutupnya sekarang sampai jam 4 sore aja.",positif,,
waduk gondang,Tempatnya enak sejuk cuma playground nya gak terawat. Niat mau ngajak anak main kesana kok malah gabisa di pake mainan semua,positif,negatif,
pantai lorena,Strategis buka mulai pagi 05.00-2300 pinggir jln.akses Juanda T1,,,positif
alun alun,Tempatnya strategis.nyaman utk bermain ank2,,positif,positif
waduk gondang,Waduk indah & kebun binatang,positif,,
alun alun,tempat nyaman juga bersih. jadi kangen main kesana,positif,positif,
goa maharani,Oke. Perlu regenerasi singa dan macan nya. Sudah tua²,negatif,,
goa maharani,Menyenangkan sekali,positif,,
wego,Parkir yang luas dan memiliki banyak wahana permainan dengan pesawat yg bisa dinaiki. Terdapat perahu dan ada kolam renang serta wahana lainnya,positif,positif,
waduk gondang,Destinasi wisata terdekat dengan tempat tinggal. ,,,positif
alun alun,Semakin indah dan nyaman buat sekedar bersantai sore ato senam pagi,positif,,
pantai kutang,Pantai di Lamongan Utara,,,
alun alun,"Ada permainan buat anak, tempat luas, dekat masjid Jami, sambil nunggu sholat",positif,positif,
waduk gondang,Tempat wisata yg asri dan bisa di gunakan edukasi,positif,,
